"member_casual","start_station_name","count_station"
"casual","Glenwood Ave & Morse Ave","1284"
"casual","Ashland Ave & Belle Plaine Ave","1267"
"casual","California Ave & North Ave","1265"
"casual","California Ave & Altgeld St","1260"
"casual","Lake Park Ave & 35th St","1242"
"casual","Leavitt St & Lawrence Ave","1234"
"casual","Chicago Ave & Washington St","1232"
"casual","Lincoln Ave & Waveland Ave","1214"
"casual","St. Louis Ave & Fullerton Ave","1210"
"casual","Richmond St & Diversey Ave","1207"
"casual","Campbell Ave & Fullerton Ave","1204"
"casual","Wood St & Webster Ave","1194"
"casual","California Ave & Montrose Ave","1185"
"casual","Greenview Ave & Jarvis Ave","1172"
"casual","Wells St & 19th St","1169"
"casual","Wilton Ave & Diversey Pkwy*","1157"
"casual","University Ave & 59th St","1149"
"casual","W Armitage Ave & N Sheffield Ave","1147"
"casual","Talman Ave & Addison St","1136"
"casual","Leavitt St & Addison St","1134"
"casual","State St & 19th St","1126"
"casual","Kimball Ave & Belmont Ave","1123"
"casual","Clark St & Schreiber Ave","1123"
"casual","Clinton St & 18th St","1118"
"casual","Troy St & North Ave","1103"
"casual","Elston Ave & Wabansia Ave","1097"
"casual","Campbell Ave & Augusta Blvd","1093"
"casual","Paulina St & Howard St","1091"
"casual","Morgan Ave & 14th Pl","1079"
"casual","Sheridan Rd & Columbia Ave","1072"
"casual","California Ave & Fletcher St","1072"
"casual","Claremont Ave & Hirsch St","1050"
"casual","Halsted St & Archer Ave","1049"
"casual","Ravenswood Ave & Berteau Ave","1036"
"casual","Hermitage Ave & Polk St","1033"
"casual","Drexel Ave & 60th St","1011"
"casual","Central Park Ave & Bloomingdale Ave","1010"
"casual","Canal St & Harrison St","1003"
"casual","California Ave & Byron St","998"
"casual","Wentworth Ave & 35th St","993"
"casual","Avers Ave & Belmont Ave","990"
"casual","Emerald Ave & 31st St","988"
"casual","University Library (NU)","979"
"casual","Central Park Ave & Elbridge Ave","978"
"casual","Avondale Ave & Irving Park Rd","963"
"casual","Campbell Ave & Montrose Ave","954"
"casual","Glenwood Ave & Touhy Ave","949"
"casual","Laflin St & Cullerton St","949"
"casual","Kosciuszko Park","939"
"casual","Rockwell St & Eastwood Ave","917"
"casual","Winchester Ave & Elston Ave","904"
"casual","Western Ave & Roscoe St","901"
"casual","Lake Park Ave & 47th St","895"
